"","newid","region","fam_type","earncomp","bls_urbn","cutenure","age_ref","sex_ref","marital1","educ_ref","inclass","kids","inc","inc.a","food","house","transport","utili","health","enter"
"26999","03104334","3","8","1","2","4",30,"2","5","15","06",0,31647,35000,3900,7080,772,1680,9355.2,1400
"27003","03209703","2","8","1","1","2",28,"1","5","15","09",0,58087,70000,4506.6668,12113.3332,1858.6668,2060,5205.3328,1104
"27005","03347061","2","8","1","1","4",54,"1","3","13","06",0,26275,30000,1560,4172,952,1212,2080,720
"27010","03344171","4","8","1","1","4",34,"1","5","15","08",0,50810.6,63207.6,8666.6668,15536,5842.6668,2360,1760,1204
"27011","03190733","3","8","1","1","2",56,"2","4","12","05",0,24414,28004,4208,5496,1592,2396,11504,700
"27014","03191513","3","8","1","1","1",59,"1","3","16","09",0,96133,127003,1992,20736,6520,5156,4688,896
"27019","03149654","1","8","1","2","4",30,"2","5","12","06",0,34967,38900,4333.3332,5992,1460,392,4096,520
"27022","03093564","2","8","1","1","4",28,"2","5","14","05",0,22465.6,24695.6,3740,10620,2360,840,11803.2,1280
"27025","03105214","2","8","1","1","4",54,"1","3","15","07",0,36239,42000,6240,10300,3544,1288,1680,296
"27027","03215343","2","8","1","1","1",36,"1","5","15","09",0,60802,75000,5173.3332,9746.6668,1929.3332,1800,3840,2120
"27028","03228263","3","8","1","1","4",28,"2","5","15","06",0,33356,37000,1040,3680,328,240,576,252
"27032","03233533","3","8","1","1","2",57,"1","5","15","05",0,21784.6,23387.6,1040,1929.3332,2740,760,2624,1468
"27034","03173724","2","8","1","2","4",56,"2","2","12","02",0,9012,8558,866.6668,964,160,224,416,188
"27039","03088744","1","8","1","1","1",31,"1","5","15","08",0,49040.2,58367.2,7280,10772,70196,4220,18864,2952
"27040","03296932","4","8","1","1","4",32,"2","5","15","06",0,26954,30000,1504,7356,760,312,2218.6672,396
"27045","03354431","3","8","1","1","2",40,"2","4","16","05",0,26984.6,29359.6,5693.3332,11424,6860,700,1696,5124
"27056","03184703","2","8","1","1","2",63,"2","3","16","09",0,60597,74100,12380,18216,2096,2140,2400,360
"27057","03332041","3","8","1","1","1",34,"1","5","16","07",0,42894,49001,9600,26128,6404,3160,32608,6524
"27063","03192433","4","8","1","1","1",61,"1","3","14","08",0,59889,69000,4680,14544,7320,3808,7824,1308
"27064","03184803","2","8","1","1","1",35,"1","5","16","08",0,48054,55000,6456,22816,4112,5808,6256,3456
"27071","03106864","2","8","1","1","2",47,"1","3","15","09",0,66840.6,81086.6,7184,9656,4276,3248,40240,1740
"27072","03237133","3","8","1","1","1",45,"1","3","13","08",0,50478.4,61160.4,1560,4518.6668,5412,1380,1600,312
"27080","03255232","3","8","1","1","4",51,"1","3","12","09",0,92688,122000,7720,17540,2364,5360,19120,9448
"27083","03332561","1","8","1","1","4",52,"1","3","12","07",0,38667,45504,3380,19132,6040,4364,7008,3188
"27087","03211333","1","8","1","1","1",28,"1","5","12","08",0,41499,50000,3813.3332,13360,4672,3440,3376,720
"27094","03330421","1","8","1","1","4",49,"2","5","13","08",0,44910,55000,2600,23136,3988,6928,80,992
"27095","03185503","2","8","1","1","4",57,"2","5","15","06",0,31338,34494,3480,10448,3192,2088,6240,336
"27096","03279982","4","8","1","1","4",31,"2","5","16","08",0,51988,65000,3120,8624,2106.6668,784,4832,1280
"27104","03237793","3","8","1","1","1",57,"2","3","16","09",0,220767,3e+05,4686.6668,12912,13524,1584,10240,4064
"27105","03108564","2","8","1","1","2",60,"2","5","16","08",0,49227,58174,1616,3392,4192,2492,8400,1332
"27110","03108824","3","8","1","2","2",61,"1","5","11","04",0,14475,15000,1560,3240,1284,2720,1248,780
"27112","03295912","2","8","1","1","4",36,"1","3","13","07",0,37286.2,43953.2,2272,2820,404,320,4480,586.6668
"27115","03211913","4","8","1","1","4",48,"1","4","12","05",0,21374.4,23434.4,2773.3332,3140,780,640,2186.6672,320
"27118","03166494","3","8","1","1","1",28,"2","1","12","05",0,24152,26000,2600,4356,480,1120,1072,480
"27119","03280442","3","8","1","1","2",64,"2","3","13","07",0,39798,47500,2253.3332,4214.6668,1112,2188,25568,560
"27121","03298672","3","8","1","1","4",51,"2","5","16","08",0,43935,50000,2253.3332,8468,180,756,3520,588
"27123","03238213","2","8","1","1","4",37,"1","3","13","03",0,12046.8,11708.8,1473.3332,4064,1940,652,4302.4,180
"27127","03193853","3","8","1","1","4",30,"2","5","15","05",0,25073,29000,6392,11976,2504,3048,1440,1208
"27128","03256202","2","8","1","1","4",30,"1","5","16","08",0,43893,51888,5720,16672,3080,1792,5760,1056
"27131","03091054","1","8","1","1","4",27,"2","5","12","08",0,49565,60000,936,17664,8848,2964,125024,540
"27133","03093034","3","8","1","2","1",54,"1","5","13","05",0,26697,29176,4280,2980,4920,1440,4016,664
"27137","03333531","2","8","1","1","2",44,"2","5","13","05",0,20221.8,22683.8,5044,9184,1700,1612,12464,1488
"27139","03209913","2","8","1","1","4",56,"1","5","15","05",0,18082,20000,4353.3332,10468,4218.6668,1048,8314.6672,720
"27140","03152184","2","8","1","1","4",34,"1","5","15","09",0,70399,91251,3466.6668,14284,5600,2004,12480,520
"27141","03326941","1","8","1","1","2",60,"2","3","15","07",0,38360,45275,7504,16624,9288,2176,7840,9096
"27144","03110244","3","8","1","1","1",33,"1","1","12","06",0,30797,34000,8200,8240,3228,2960,5200,1252
"27147","03249112","1","8","1","1","1",31,"2","5","16","08",0,52027,60000,3400,37544,7068,2300,11408,2356
"27151","03278792","2","8","1","1","1",36,"2","3","14","08",0,50054,60000,4706.6668,8536,2057.3332,2368,1920,1012
"27152","03228293","3","8","1","1","4",43,"2","4","15","09",0,77685,95000,2600,8736,6013.3332,860,352,892
"27154","03150004","4","8","1","1","4",52,"1","3","16","08",0,51177,62003,4730.6668,10616,4624,956,800,2936
"27157","03110774","4","8","1","1","4",35,"1","5","14","08",0,58462,67801,7308,7640,4264,2280,6032,2640
"27159","03168254","3","8","1","1","1",56,"2","4","13","03",0,13749,14700,520,1918.6668,1012,1132,1872,276
"27160","03110894","1","8","1","1","1",44,"2","5","14","09",0,62251,78000,3480,11924,4768,4384,7488,2120
"27161","03228473","3","8","1","1","4",31,"1","5","16","06",0,29089,33500,3726.6668,4680,2173.3332,400,1920,36
"27164","03215523","1","8","1","1","2",61,"1","1","14","08",0,42386,50000,1906.6668,2506.6668,2012,1506.6668,1898.6672,168
"27165","03212843","3","8","1","1","4",61,"2","5","11","01",0,754,700,1040,10021.3332,480,3368,3516.8,184
"27168","03168424","4","8","1","1","2",31,"2","5","15","04",0,15669.6,16714.6,1178.6668,825.3332,180,388,1322.6672,36
"27169","03194863","3","8","1","1","4",55,"1","3","16","09",0,122497,152400,5720,26728,14800,2224,20880,1096
"27173","03142234","4","8","1","1","4",62,"1","3","12","07",0,40530,46000,3813.3332,6468,1440,1736,23296,4056
"27176","03339101","4","8","1","1","4",28,"2","5","12","04",0,16225,18000,3728,5384,1876,1616,480,740
"27183","03166134","3","8","1","1","1",51,"2","3","16","08",0,49543,58000,2426.6668,4133.3332,788,1120,8816,392
"27184","03327631","4","8","1","1","1",63,"2","3","14","09",0,60013.8,75953.8,7540,8052,12104,3204,12352,360
